flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration_sec,bytes_per_packet,packets_per_sec,bytes_per_sec,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,iat_mean,iat_std,sni_domain,label,source_file
0,192.168.1.103,10.0.0.122,17874,5060,6,368,209760,44.0536395377786,570.0,8.353452832981445,4761.468114799423,209,1048,699.3292420985183,209.7987726295555,0.11971097700483316,0.05985548850241658,,P1,sample_data
1,192.168.1.236,10.0.0.158,57125,443,17,33,10890,1.596950334578271,330.0,20.66438716687753,6819.247765069585,177,886,590.9729556485984,177.29188669457952,0.04839243438115973,0.024196217190579863,,P3,sample_data
2,192.168.1.89,10.0.0.49,42458,5060,6,42,27678,18.737941654160146,659.0,2.2414414974269747,1477.1099468043762,90,453,302.1198915659152,90.63596746977457,0.44614146795619397,0.22307073397809699,,P3,sample_data
3,192.168.1.190,10.0.0.51,2923,3478,17,3247,4750361,35.60484744733347,1463.0,91.19544760872654,133418.93985156692,312,1561,1040.7728955397693,312.2318686619308,0.010965459638846157,0.005482729819423078,,P0,sample_data
4,192.168.1.132,10.0.0.89,44347,21,17,326,308396,10.646185359393845,946.0,30.621296642402367,28967.74662371264,129,648,432.52579649263976,129.75773894779192,0.03265701030488909,0.016328505152444547,,P1,sample_data
5,192.168.1.188,10.0.0.199,49579,22,17,365,315360,14.238182624517865,864.0,25.635294168195127,22148.89416132059,156,780,520.5127330130058,156.15381990390173,0.03900871951922703,0.019504359759613513,,P1,sample_data
6,192.168.1.254,10.0.0.134,44597,443,17,3652,5182188,30.045969656686857,1419.0,121.54708407579157,172475.31230354824,401,2009,1339.9126346429437,401.9737903928831,0.008227264418588953,0.004113632209294477,,P0,sample_data
7,192.168.1.48,10.0.0.15,30151,21,6,661,793861,108.43100854704137,1201.0,6.0960421641124345,7321.346639099034,380,1903,1269.0549904649884,380.7164971394965,0.16404086013168134,0.08202043006584067,,P0,sample_data
8,192.168.1.111,10.0.0.53,22295,443,6,209,124355,50.749763996350005,595.0,4.118245752138504,2450.35622252241,232,1160,773.6600550686904,232.09801652060713,0.24282183730311008,0.12141091865155504,,P1,sample_data
9,192.168.1.65,10.0.0.89,41798,80,17,399,316008,8.884991385998378,792.0,44.90719041424998,35566.49480808598,240,1201,801.0984903770199,240.32954711310595,0.022268148837088667,0.011134074418544334,,P1,sample_data
10,192.168.1.136,10.0.0.163,62882,80,6,155,119505,1.3377494515475252,771.0,115.86624073790055,89332.87160892133,149,749,499.42120204440255,149.82636061332076,0.008630641622887259,0.004315320811443629,,P1,sample_data
11,192.168.1.12,10.0.0.162,53280,21,17,2778,2889120,110.64556430981588,1040.0,25.107197178021448,26111.485065142308,414,2073,1382.5173600054097,414.7552080016229,0.039829216814188585,0.019914608407094293,,P0,sample_data
12,192.168.1.227,10.0.0.101,9134,21,6,783,198099,104.17488410731733,253.0,7.516207065739384,1901.6003876320642,78,393,262.24868516954024,78.67460555086207,0.13304582900040526,0.06652291450020263,,P2,sample_data
13,192.168.1.137,10.0.0.207,22542,443,17,317,125532,238.16113858773147,396.0,1.3310315943221216,527.0885113515602,74,373,248.75911927287814,74.62773578186344,0.7512969671537271,0.37564848357686353,,P2,sample_data
